,full_name,adress,telephone
1,Носов Эраст Ильич,"п. Кашхатау, ул. З.Космодемьянской, д. 8 стр. 3/9, 577163",8 893 798 46 72
2,Алина Максимовна Фролова,"д. Ряжск, ул. Специалистов, д. 594, 582252",80237282965
3,Ладислав Ануфриевич Орехов,"г. Нарткала, алл. Ушакова, д. 7 к. 667, 912351",+7 (839) 594-36-13
4,Павлова Регина Алексеевна,"клх Тура, ул. Олега Кошевого, д. 200 стр. 777, 034625",8 529 542 28 28
5,София Святославовна Степанова,"ст. Кириши, пр. Набережный, д. 22 к. 205, 603095",+7 (392) 776-43-62
6,Варвара Ниловна Родионова,"с. Лянтор, бул. Азина, д. 6, 149251",8 (932) 510-02-52
7,Парфен Устинович Антонов,"г. Чусовой, алл. Бригадная, д. 605 к. 4/3, 925562",8 (680) 906-2774
8,Ираида Семеновна Фролова,"д. Кижи, пр. Главный, д. 5 к. 4, 676138",8 (921) 689-17-71
9,Никитина Елизавета Мироновна,"к. Ярославль, наб. Заречная, д. 313 к. 3/2, 961235",8 (467) 051-70-92
10,Любовь Юрьевна Ларионова,"г. Ханты-Мансийск, ш. Новостройка, д. 164 стр. 575, 163484",8 431 922 9700
11,Януарий Бориславович Авдеев,"ст. Кетченеры, алл. Краснофлотская, д. 815 к. 79, 772210",+7 (597) 286-41-28
12,Шилова Елизавета Павловна,"п. Переславль-Залесский, пр. Енисейский, д. 1 к. 9/7, 632279",+72893019614
13,Абрамова Иванна Наумовна,"ст. Североуральск, ш. Островского, д. 41 стр. 22, 837663",8 784 135 51 92
14,Венедикт Иосипович Лазарев,"с. Архангельск, бул. Пушкинский, д. 9, 119205",+7 (314) 852-69-76
15,Валерия Семеновна Селезнева,"г. Усолье Сибирское, бул. Вахитова, д. 3 к. 980, 119637",+7 (685) 867-03-57
16,Куликов Евлампий Иосипович,"к. Таганрог, алл. Заводская, д. 4/3 к. 988, 618428",8 (766) 821-7502
17,Федосеев Ярополк Харламович,"ст. Боровск, наб. Морозова, д. 1/9, 673168",80732914203
18,Христофор Давыдович Рожков,"п. Каспийск, бул. Гастелло, д. 9/2 стр. 632, 369504",+75260384506
19,Буров Митофан Матвеевич,"д. Карабудахкент, ул. Металлистов, д. 1 стр. 996, 797958",+7 471 944 1645
20,Игнатьева Антонина Дмитриевна,"с. Тавда, ул. Шахтерская, д. 508 стр. 8/8, 752519",+7 (861) 030-7286
